clast_ID,x,y,Ellipse_major_axis,Ellipse_minor_axis,Clast_length,Clast_width,Surface_area,Score,Orientation
7966.00000,558251.69493,6981581.82429,0.04502,0.02443,0.03936,0.02159,0.00103,0.69859,63.37918
7967.00000,558252.02691,6981581.97172,0.05147,0.03981,0.04736,0.03779,0.00182,0.68481,68.71692
7968.00000,558251.67442,6981582.11529,0.06532,0.04773,0.06165,0.04785,0.00271,0.67635,91.76013
7969.00000,558252.03289,6981582.43870,0.05397,0.03113,0.04985,0.02804,0.00151,0.67607,132.51698
7970.00000,558251.26853,6981581.85760,0.06087,0.04054,0.05605,0.03842,0.00213,0.65215,133.27045
7971.00000,558251.49172,6981582.41764,0.04193,0.03411,0.04080,0.03215,0.00132,0.64137,149.49543
7972.00000,558251.18137,6981582.18255,0.04568,0.04398,0.04457,0.04198,0.00182,0.64033,74.25614
7973.00000,558251.82371,6981582.52762,0.07159,0.04511,0.06921,0.04621,0.00283,0.63299,16.12272
7974.00000,558251.56002,6981582.03598,0.04656,0.03127,0.04358,0.03005,0.00134,0.55703,133.00672
7975.00000,558252.69266,6981582.48411,0.06762,0.03975,0.06797,0.04005,0.00238,0.98722,130.50088
7976.00000,558252.27266,6981581.67350,0.05392,0.04551,0.05184,0.04447,0.00219,0.98092,28.87567
7977.00000,558252.90230,6981582.13503,0.09504,0.05266,0.08701,0.04875,0.00426,0.97938,71.58420
7978.00000,558252.68313,6981582.25289,0.04593,0.04224,0.04396,0.04082,0.00176,0.96902,127.37965
7979.00000,558252.60513,6981581.82177,0.06858,0.03983,0.06614,0.03779,0.00242,0.96892,126.24136
7980.00000,558252.60106,6981582.06007,0.06525,0.05306,0.06234,0.04988,0.00300,0.94576,41.87596
7981.00000,558252.39825,6981582.36767,0.05923,0.05079,0.06163,0.05269,0.00264,0.93374,179.15962
7982.00000,558252.29988,6981582.31583,0.14933,0.07722,0.15267,0.07946,0.00965,0.92808,19.28782
7983.00000,558252.26155,6981581.87942,0.04403,0.03425,0.04263,0.03305,0.00140,0.91726,115.33750
7984.00000,558252.40062,6981582.50481,0.06585,0.04721,0.06692,0.04654,0.00273,0.90109,99.38363
